,1_hr,2_hr,3_hr,4_hr,5_hr,6_hr,7_hr,8_hr,9_hr,10_hr,11_hr,12_hr
HC_TrpA1_21,0.25,-0.5,-1.5,-3.3125,-3.6875,2.4375,4.25,6.0625,8.0625,7.5,4.375,5.25
HC_29,-2.181818182,-0.545454545,6,16.18181818,25.18181818,30.90909091,37.36363636,30.18181818,27.36363636,26.45454545,27.72727273,24.27272727
HC_TrpA1_29,47.82857143,89.71428571,123.5428571,149.8571429,175.3142857,194.0857143,214.0571429,229.1428571,243.2285714,249.1714286,245.0571429,240.4857143
R60F09_TrpA1_21,0.8125,0.75,0.625,3,18.8125,37.6875,57.375,69.25,65.8125,66,64.875,64.625
R60F09_29,3.5625,5.5,11.125,23.75,35.875,37.3125,30.0625,30.5625,24.75,25.1875,26.8125,30.875
R60F09_TrpA1_29,7.5625,11.78125,21.15625,36.8125,50.09375,52.90625,48.5625,43.1875,42.59375,41.25,42.59375,43.375
R65H02_TrpA1_21,3,3.375,2.375,-0.75,2.75,2.875,2.125,-1.625,0.25,-2.25,-3.625,-5.375
R65H02_29,3.538461538,17.23076923,39.61538462,55.15384615,60.15384615,67.38461538,70.23076923,67.69230769,66.61538462,70.61538462,80.23076923,88.30769231
R65H02_TrpA1_29,-6.391304348,-0.260869565,14.47826087,24.04347826,32.91304348,40.52173913,50.34782609,54.60869565,65.17391304,69.30434783,74.95652174,78.47826087
R21H11_TrpA1_21,0.125,0.125,-0.75,1.75,4.125,9,8.625,3.5,9.5,12.875,10.125,8.5
R21H11_29,0.461538462,2.307692308,7.538461538,13.53846154,24.53846154,22.84615385,13.46153846,9.692307692,3.615384615,2.615384615,3.692307692,3.692307692
R21H11_TrpA1_29,9.421052632,14.94736842,21.15789474,26.94736842,29.31578947,23.94736842,17.52631579,7.315789474,2.578947368,-0.368421053,-1.421052632,-1.684210526
R85C10_TrpA1_21,-0.411764706,2.647058824,2.323529412,1.147058824,2.014705882,3.632352941,1.941176471,2.573529412,4.220588235,2.764705882,3.558823529,5.441176471
R85C10_29,-19.625,-33.625,-36.25,-35.625,-32.875,-27.5,-19.25,-7.625,0.5,6,10,12.75
R85C10_TrpA1_29,-1.044117647,-40.14705882,-85.57352941,-124.3970588,-158.7794118,-191.7794118,-216.8235294,-236.8088235,-252.2647059,-263.7205882,-283.3382353,-308.5882353
MechSD3hr,31.03448276,62.31034483,79.72413793,95.13793103,107.1034483,113.2068966,112.3103448,107.5172414,102.137931,97.93103448,99.31034483,99.72413793
MechSD6hr,41.1,74.85,93.95,116.45,130.25,127.75,125.55,126,126.15,128.9,128.4,127.35
MechSD12hr,33.32,55.64,65.84,70.88,78.64,77.48,70.04,60.8,57.24,53.16,49.8,48.76
ZT0,1.581081081,3.702702703,3.837837838,6.783783784,11.22972973,16.04054054,17.5,21.32432432,21.35135135,21.93243243,21.24324324,21.27027027
ZT4,4.445945946,9.256756757,10.71621622,14.54054054,14.56756757,15.14864865,14.45945946,14.48648649,15.22972973,18.09459459,22.56756757,27.71621622
ZT8,0.027027027,0.608108108,-0.081081081,-0.054054054,0.689189189,3.554054054,8.027027027,13.17567568,11.24324324,12.90540541,20.02702703,23.89189189
ZT12,0.743243243,3.608108108,8.081081081,13.22972973,11.2972973,12.95945946,20.08108108,23.94594595,23.28378378,20.98648649,19.08108108,19.25675676
