ext_gene,HC_29_1,HC_29_2,HC_29_3,HC_TrpA1_21_1,HC_TrpA1_21_2,HC_TrpA1_21_3,HC_TrpA1_29_1,HC_TrpA1_29_2,HC_TrpA1_29_3,MechSD12hr_1,MechSD12hr_2,MechSD12hr_3,MechSD3hr_1,MechSD3hr_2,MechSD3hr_3,MechSD6hr_1,MechSD6hr_2,MechSD6hr_3,R21H11_29_1,R21H11_29_2,R21H11_29_3,R21H11_TrpA1_21_1,R21H11_TrpA1_21_2,R21H11_TrpA1_21_3,R21H11_TrpA1_29_1,R21H11_TrpA1_29_2,R21H11_TrpA1_29_3,R60F09_29_1,R60F09_29_2,R60F09_29_3,R60F09_TrpA1_21_1,R60F09_TrpA1_21_2,R60F09_TrpA1_21_3,R60F09_TrpA1_29_1,R60F09_TrpA1_29_2,R60F09_TrpA1_29_3,R65H02_29_1,R65H02_29_2,R65H02_29_3,R65H02_TrpA1_21_1,R65H02_TrpA1_21_2,R65H02_TrpA1_21_3,R65H02_TrpA1_29_1,R65H02_TrpA1_29_2,R65H02_TrpA1_29_3,R85C10_29_1,R85C10_29_2,R85C10_29_3,R85C10_TrpA1_21_1,R85C10_TrpA1_21_2,R85C10_TrpA1_21_3,R85C10_TrpA1_29_1,R85C10_TrpA1_29_2,R85C10_TrpA1_29_3,ZT_0_1,ZT_0_2,ZT_0_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3
1-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989521,0,0,0.1110847,0,0,0,0,0.0352896,0.04123715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584384,0,0.0451119,0.0468569,0,0,0,0.0757388,0,0.10217,0,0.05975863,0,0.13182527,0,0.10272304,0.0478587,0.166098,0,0,0,0,0,0,0,0.0405307,0,0,0,0,0,0
1-Sep,37.3591,36.8781,41.8657,33.6546,36.0644,27.2953,35.8082,38.9492,40.6139,34.5623,29.5834,35.5705,33.026,30.2465,34.8262,32.2285,30.2697,34.3825,39.3701,37.7027,42.9726,38.088,29.9822,31.8366,36.1371,28.4088,30.572,35.0978,36.15,40.3531,22.2528,29.4882,32.806,34.0187,39.1844,44.0347,41.5375,44.6429,40.819,31.246,36.2016,33.9498,32.9418,34.6945,30.5653,37.3054,35.9102,40.2195,36.2668,40.9815,42.4836,40.1632,38.8186,46.7555,39.2276,41.0423,39.5448,38.2114,38.1974,37.5707,39.8795,36.5842,36.2962,33.3263,31.0708,33.6866,38.1604,37.995,38.4868,35.6233,35.9796,41.2067
128up,50.5303,49.4902,52.0422,43.8319,38.6224,55.0942,65.5225,55.4055,51.4872,44.5927,48.1446,46.4777,43.1394,40.8141,43.7127,42.1877,45.1601,47.3766,55.2388,48.57,60.6264,45.5791,51.6926,45.5231,70.0511,62.1967,57.3892,49.706,53.0503,53.2259,40.7611,49.1198,38.5794,56.3843,66.4787,62.7681,57.527,57.0665,48.1489,50.1696,42.3714,39.2962,64.1224,60.8534,53.6485,55.7712,44.3347,65.9729,38.7471,40.9426,25.8041,51.7154,59.4961,54.5012,52.9591,43.0323,46.0765,39.3605,42.0074,40.3659,36.6778,39.3229,42.9772,46.7128,45.0832,50.5302,45.6902,41.551,46.7932,43.5378,43.3653,40.9837
14-3-3epsilon,1004.17,1266.342,1255.742,778.2426,898.3766,573.4706,1145.983,1198.807,1247.785,849.1831,648.9674,853.2085,790.8307,789.1402,735.4333,611.5976,607.5233,539.7668,1197.36,1207.9541,1207.416,773.1545,739.5269,659.4283,785.2118,392.3114,763.6129,1225.104,1119.779,1257.036,460.6762,590.9414,814.0339,1195.408,1151.914,1203.693,1248.73,1253.688,1169.89,726.4911,893.1103,700.2837,897.359,724.9689,711.4849,1090.795,1233.763,1187.071,1106.8498,1141.8134,1156.283,980.39,1131.181,1107.66,1064.881,1024.884,1089.335,1077.805,1029.42,957.415,1070.2087,937.5178,1080.988,683.1463,773.066,686.2348,994.287,1083.4612,1058.319,1103.516,1018.484,950.747
14-3-3zeta,1832.98918,1761.02382,1841.894247,1366.4319,1512.471,968.579262,1577.54089,1670.73284,1815.24647,1363.458464,1223.85633,1438.230821,1274.397145,1308.08901,1221.90581,1160.993833,1092.53443,1119.03454,1871.470653,2028.79726,1837.564226,1363.16007,1337.67948,1018.17054,1133.5292,717.55569,1126.171033,1817.621761,1740.012546,1783.79015,845.60576,888.1668002,1371.139153,1644.27262,1641.169678,1687.81165,1824.97981,1831.57477,1805.71594,1198.98885,1353.07265,1244.455985,1158.03505,1112.902068,1071.47015,1757.88576,1960.45933,1893.74361,1882.137791,1862.168344,1877.78575,1651.55086,1904.49584,1833.67462,1822.58503,1724.773852,1815.58688,1755.10926,1737.40164,1553.064411,1749.23158,1582.4908,1692.216085,1241.31037,1335.88468,1155.50639,1661.09438,1760.00106,1731.4858,1815.82862,1700.369606,1612.50532
140up,33.3899,38.4708,32.34807,35.7062,27.8351,29.71192,36.3711,41.9827,34.4908,29.57471,24.9194,33.90789,26.4049,21.9631,29.472,28.408,29.30306,23.95197,39.4715,38.1241,33.7441,35.13743,17.65102,25.6013,39.69415,28.998,31.7576,33.89241,45.8163,42.094,20.22556,29.3253,27.74512,34.3317,36.3446,39.9639,34.8272,38.1975,33.2017,23.31713,34.4825,30.27167,27.5561,32.7573,31.8366,36.4709,32.3716,46.39558,28.98397,28.7262,33.21979,31.9339,38.3975,35.125,32.9078,27.1515,27.06345,30.3697,24.9297,28.1784,34.7315,26.5385,38.18694,28.3527,29.84846,30.3801,31.986,26.2807,33.9584,36.69365,33.54424,26.9999
18w,16.5851,20.4446,18.3376,12.1548,13.0071,7.47794,13.3609,17.1686,17.4609,11.7164,13.635,14.8788,14.927,13.1681,12.1855,9.52284,9.40622,10.044,20.4274,16.8159,20.5922,12.6716,12.6311,9.06371,10.593,5.00272,11.8248,17.109,16.4051,19.6462,6.25004,8.15302,13.069,16.6702,16.5041,17.1737,20.7181,18.144,17.9764,12.2155,16.4267,10.3271,11.7273,10.8854,11.5499,14.6288,15.8911,19.0206,15.9693,14.6517,18.6526,11.6106,14.9749,16.6115,15.7529,15.2368,18.7511,14.9587,16.3997,14.8191,16.054,16.1058,14.8612,10.7635,13.6548,9.94934,15.2928,16.1519,16.3866,18.586,15.5243,15.0686
2-Sep,112.1478,102.111,98.85041,106.605,113.231,101.195,103.8983,112.725,113.02167,88.2163,90.5568,98.892882,98.1267,94.70161,100.705,85.0326,87.396464,85.24413,117.25823,94.37512,103.408,111.139,107.42,107.18005,125.151532,88.6276,104.83123,95.0588,103.113,113.08957,84.021958,113.069,113.903405,115.903,128.55642,117.581357,101.208,103.14463,95.32544,115.370281,109.501,122.37635,106.484233,101.455616,104.607181,126.331,118.72,121.937,128.791,121.029,119.255,139.093,126.666922,122.021,106.735,103.599,103.043643,99.844665,101.667228,102.088,99.5871,97.433,107.995787,92.9958,91.4802,96.337652,114.253706,111.483,110.455,99.055073,99.13146,113.934
26-29-p,123.302,128.101,132.522,108.369,100.79,101.834,128.998,131.545,130.476,78.7477,74.6449,93.7011,89.569,88.6754,90.2574,85.188,88.6484,73.2119,119.944,130.584,148.255,118.422,103.205,106.061,143.287,101.965,135.055,144.207,142.566,157.227,78.3997,122.68,113.46,140.258,130.478,159.278,118.886,140.006,134.266,110.021,141.021,102.659,138.445,127.564,117.738,157.617,155.781,154.717,113.158,130.407,130.153,126.536,133.41,165.558,98.1257,101.628,109.961,99.8336,110.146,109.49,95.3032,98.2781,120.931,85.3704,95.7189,95.9962,108.068,119.648,120.399,102.36,100.748,112.017
2mit,110.7436,127.7138,119.5646,70.2254,83.947,50.3788,105.127,110.7026,111.6066,70.1596,66.3986,78.3948,67.787,66.7398,60.93,52.3252,49.8802,53.4022,125.4468,134.0302,117.8792,73.1362,66.4172,48.7612,55.7254,32.6724,55.2842,110.6862,98.8882,104.3596,31.5398,34.4348,63.131,100.7646,94.0742,94.5788,117.7454,110.059,114.2512,63.229,75.5504,58.1284,57.3386,49.2398,48.4716,96.236,121.2446,108.3346,104.9728,99.741,108.8782,78.7404,98.2454,91.2064,92.296,88.689,94.2188,94.9468,88.3414,77.2352,88.8936,75.5402,87.9606,63.7362,70.26,50.8778,85.444,89.3472,86.6322,101.9142,86.7252,79.0748
